Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
S00001,23,100,100,90,8.4,1
S00002,20,90,71,79,7.9,1
S00003,21,82,95,90,6.2,1
S00004,23,100,97,100,9.6,1
S00005,19,26,49,64,2.8,1
S00006,24,31,30,38,2.0,0
S00007,21,100,84,79,8.7,1
S00008,21,67,59,66,5.0,1
S00009,23,100,80,88,8.6,1
S00010,18,100,93,86,9.0,1
S00011,19,26,35,27,1.6,0
S00012,23,87,100,93,9.0,1
S00013,19,66,52,60,5.0,1
S00014,19,42,71,77,5.6,1
S00015,24,98,80,84,6.6,1
S00016,21,100,85,100,9.3,1
S00017,20,49,45,23,1.2,0
S00018,24,48,63,72,5.3,1
S00019,24,98,52,72,7.2,1
S00020,19,100,92,68,7.5,1
S00021,22,67,69,75,7.2,1
S00022,21,52,32,58,2.2,1
S00023,18,55,64,51,3.7,1
S00024,24,40,55,78,4.2,1
S00025,20,97,100,94,8.2,1
S00026,22,63,69,50,3.5,1
S00027,22,41,42,64,2.9,1
S00028,18,100,100,100,9.6,1
S00029,24,14,27,27,1.1,0
S00030,20,87,100,100,10.0,1
S00031,21,83,73,83,7.1,1
S00032,17,93,100,90,8.5,1
S00033,20,46,66,46,3.7,1
S00034,18,44,40,52,1.1,1
S00035,22,92,77,89,7.6,1
S00036,21,100,90,97,8.5,1
S00037,20,85,60,78,7.7,1
S00038,17,51,48,56,2.3,1
S00039,17,82,91,96,7.8,1
S00040,19,100,89,77,7.9,1
S00041,19,70,44,61,6.9,1
S00042,23,100,72,92,7.9,1
S00043,18,94,84,71,8.6,1
S00044,24,60,80,77,6.5,1
S00045,20,56,45,37,1.8,1
S00046,20,70,66,82,5.4,1
S00047,24,49,48,37,1.7,1
S00048,23,77,51,76,4.7,1
S00049,22,67,71,57,4.7,1
S00050,22,31,46,53,1.6,1
S00051,23,70,63,83,4.1,1
S00052,22,41,41,31,2.0,0
S00053,19,100,100,92,8.3,1
S00054,20,75,100,100,9.5,1
S00055,23,44,29,43,1.7,0
S00056,20,94,100,98,9.6,1
S00057,24,90,80,79,5.7,1
S00058,17,62,49,56,3.7,1
S00059,19,41,54,21,1.7,0
S00060,21,75,74,82,5.5,1
S00061,19,79,61,63,8.2,1
S00062,23,100,87,77,7.4,1
S00063,21,61,34,55,1.5,1
S00064,17,43,47,38,1.7,1
S00065,23,81,74,54,4.6,1
S00066,18,48,58,66,3.7,1
S00067,20,40,71,41,3.1,1
S00068,17,53,52,40,3.5,1
S00069,20,96,97,91,8.2,1
S00070,22,95,100,94,9.4,1
S00071,18,68,61,47,4.6,1
S00072,18,100,100,100,9.2,1
S00073,17,44,50,63,3.9,1
S00074,18,74,63,63,5.3,1
S00075,21,59,35,48,3.0,1
S00076,18,81,82,83,6.8,1
S00077,20,100,100,100,9.8,1
S00078,20,62,90,71,6.4,1
S00079,23,64,69,67,4.2,1
S00080,20,65,76,84,6.8,1
S00081,23,28,30,55,2.1,0
S00082,20,89,100,93,9.0,1
S00083,21,58,83,58,5.5,1
S00084,24,58,75,59,5.0,1
S00085,23,73,88,78,6.3,1
S00086,19,88,75,98,6.6,1
S00087,22,34,34,35,1.6,0
S00088,17,63,72,89,7.1,1
S00089,20,64,51,48,3.2,1
S00090,18,74,83,83,7.4,1
S00091,24,91,93,100,8.4,1
S00092,20,96,88,97,8.2,1
S00093,18,75,71,57,6.0,1
S00094,22,84,61,63,5.7,1
S00095,22,49,57,61,2.3,1
S00096,22,79,89,88,8.0,1
S00097,18,78,51,40,3.4,1
S00098,20,71,60,59,5.5,1
S00099,22,52,39,64,3.6,1
S00100,21,54,60,57,2.2,1
S00101,23,82,85,77,6.7,1
S00102,18,42,20,70,1.5,1
S00103,18,100,95,94,7.7,1
S00104,20,53,68,54,3.9,1
S00105,18,29,37,27,1.0,0
S00106,18,71,89,58,5.6,1
S00107,22,49,41,44,1.4,1
S00108,20,35,37,49,3.5,1
S00109,22,61,88,100,7.4,1
S00110,23,31,43,59,1.6,1
S00111,24,74,85,98,8.6,1
S00112,23,28,42,23,1.0,0
S00113,24,57,32,44,3.2,1
S00114,22,76,98,99,7.7,1
S00115,23,38,46,50,3.8,1
S00116,20,41,30,57,1.9,1
S00117,17,69,58,65,4.2,1
S00118,22,32,59,54,3.4,1
S00119,24,100,94,82,8.6,1
S00120,21,65,48,55,3.8,1
S00121,24,100,83,89,8.1,1
S00122,21,100,82,100,9.0,1
S00123,18,91,62,54,4.9,1
S00124,23,94,100,91,9.2,1
S00125,21,62,61,61,4.4,1
S00126,24,98,100,100,9.7,1
S00127,18,39,59,32,1.8,1
S00128,17,100,75,65,7.2,1
S00129,20,52,66,76,5.4,1
S00130,20,51,88,43,4.5,1
S00131,20,95,96,92,6.7,1
S00132,21,96,63,79,7.3,1
S00133,17,29,40,18,1.0,0
S00134,21,55,47,42,2.5,1
S00135,23,88,93,86,7.4,1
S00136,21,99,72,73,7.0,1
S00137,17,100,91,98,9.7,1
S00138,17,100,78,93,7.8,1
S00139,23,100,93,95,9.6,1
S00140,17,91,93,70,7.3,1
S00141,24,55,42,52,3.7,1
S00142,17,49,35,60,1.9,1
S00143,20,85,67,100,8.0,1
S00144,24,100,91,53,6.8,1
S00145,24,38,54,53,1.4,1
S00146,23,55,56,62,4.2,1
S00147,19,92,96,100,9.6,1
S00148,19,82,75,62,5.5,1
S00149,17,75,82,43,4.9,1
S00150,24,60,71,73,5.1,1
S00151,19,55,41,39,2.9,1
S00152,19,41,41,43,4.3,1
S00153,17,62,47,44,4.3,1
S00154,19,42,40,48,1.5,1
S00155,21,100,79,87,7.9,1
S00156,18,53,66,72,4.7,1
S00157,23,77,84,97,8.4,1
S00158,18,84,81,86,8.7,1
S00159,17,32,36,49,2.9,0
S00160,20,96,98,72,6.9,1
S00161,23,86,78,65,5.3,1
S00162,17,100,100,81,8.9,1
S00163,24,63,56,55,2.9,1
S00164,20,83,76,93,7.1,1
S00165,18,76,93,66,6.5,1
S00166,17,51,55,71,3.7,1
S00167,24,39,47,47,2.2,1
S00168,23,62,79,81,6.9,1
S00169,23,89,50,63,7.6,1
S00170,22,55,76,35,3.8,1
S00171,24,88,85,79,6.8,1
S00172,21,63,66,72,4.6,1
S00173,19,82,83,74,7.4,1
S00174,20,37,51,70,2.8,1
S00175,24,98,88,100,9.0,1
S00176,22,63,62,44,3.6,1
S00177,19,46,45,60,4.3,1
S00178,19,38,41,70,1.5,1
S00179,17,44,50,29,2.0,1
S00180,19,61,68,76,5.6,1
S00181,21,45,58,50,3.4,1
S00182,23,96,80,98,8.5,1
S00183,22,20,25,53,1.1,0
S00184,19,64,64,56,4.4,1
S00185,17,46,66,71,4.0,1
S00186,21,47,15,65,1.2,1
S00187,18,70,50,45,2.1,1
S00188,23,52,57,72,4.7,1
S00189,23,75,66,61,5.4,1
S00190,22,53,46,62,4.6,1
S00191,23,84,61,68,5.8,1
S00192,19,61,88,84,6.4,1
S00193,17,40,37,52,1.1,1
S00194,23,56,62,65,5.2,1
S00195,23,100,99,100,9.7,1
S00196,18,58,77,88,5.7,1
S00197,18,92,87,90,7.1,1
S00198,20,45,56,50,3.8,1
S00199,21,96,100,79,8.0,1
S00200,19,85,100,76,8.0,1
S00201,23,69,76,81,5.7,1
S00202,24,100,100,84,9.8,1
S00203,23,33,52,53,2.1,1
S00204,17,37,41,25,1.2,0
S00205,20,100,100,95,7.9,1
S00206,21,82,100,88,8.3,1
S00207,24,56,32,61,2.1,1
S00208,20,70,40,67,3.4,1
S00209,22,25,29,56,1.2,0
S00210,21,36,67,73,3.6,1
S00211,23,93,69,88,8.0,1
S00212,23,64,75,56,5.7,1
S00213,21,80,63,46,4.1,1
S00214,23,60,74,35,4.3,1
S00215,19,23,38,24,1.0,0
S00216,21,41,40,57,3.7,1
S00217,20,92,67,71,6.8,1
S00218,21,97,87,96,9.8,1
S00219,24,94,86,96,8.6,1
S00220,23,46,35,35,1.2,0
S00221,19,92,82,80,9.1,1
S00222,19,88,100,85,8.0,1
S00223,22,89,72,75,8.0,1
S00224,20,74,82,62,5.1,1
S00225,18,69,77,78,4.6,1
S00226,18,52,67,53,3.7,1
